# Rime user dictionary
#@/db_name	luna_pinyin.userdb.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	36766
#@/user_id	Office-PC
bei wang 	備忘	c=1 d=1.85729e-019 t=36766
bei wang xia 	備忘下	c=1 d=9.14806e-071 t=36766
bei wo 	被我	c=1 d=1.5245e-049 t=36766
bei yong 	備用	c=1 d=1.21738e-020 t=36766
bei zi 	被子	c=1 d=4.64814e-076 t=36766
ben 	本	c=2 d=3.77052e-026 t=36766
ben ci 	本次	c=6 d=1.36276 t=36766
ben di 	本地	c=71 d=1.20474 t=36766
ben fan 	本番	c=3 d=2.12334e-073 t=36766
ben ji 	本機	c=1 d=1 t=36766
ben kui 	奔潰	c=2 d=2.36839e-027 t=36766
ben kui da lu 	奔潰大陸	c=1 d=2.38027e-026 t=36766
ben lai 	本來	c=4 d=1.17965e-022 t=36766
ben ren 	本人	c=4 d=5.65632e-005 t=36766
ben ren ye 	本人頁	c=1 d=1.11484e-073 t=36766
ben shen 	本身	c=18 d=0.071719 t=36766
ben xiang 	本想	c=1 d=8.21968e-018 t=36766
ben zhou 	本週	c=3 d=6.93002e-026 t=36766
beng kui 	崩潰	c=3 d=0.71177 t=36766
bi 	比	c=5 d=0.000288735 t=36766
bi 	筆	c=1 d=6.22374e-069 t=36766
bi 	逼	c=1 d=0.00657159 t=36766
bi an 	彼岸	c=0 d=5.48514e-025 t=36766
bi an fang na ge 	彼岸方那個	c=1 d=5.51263e-024 t=36766
bi dui 	比對	c=2 d=1.86632e-017 t=36766
bi fang 	比方	c=5 d=0.00402593 t=36766
bi ji 	筆記	c=14 d=1.66992 t=36766
bi ji ben 	筆記本	c=2 d=0.755784 t=36766
bi jiao 	比較	c=38 d=0.288513 t=36766
bi jiao da 	比較大	c=1 d=3.71806e-067 t=36766
bi jiao duo 	比較多	c=2 d=9.87798e-033 t=36766
bi jiao gao 	比較高	c=1 d=1.6623e-067 t=36766
bi jiao hao 	比較好	c=2 d=0.0319048 t=36766
bi jiao kuai 	比較快	c=1 d=5.00589e-066 t=36766
bi jiao man 	比較慢	c=1 d=0.0513033 t=36766
bi jiao xiang 	比較像	c=1 d=0.00995182 t=36766
bi jiao xiao 	比較小	c=1 d=2.87326e-064 t=36766
bi jiao xu 	比較虛	c=1 d=1.41218e-031 t=36766
bi jing 	畢竟	c=6 d=0.0024518 t=36766
bi kai 	避開	c=1 d=5.53708e-076 t=36766
bi li 	比例	c=1 d=1.26397e-050 t=36766
bi mian 	避免	c=7 d=0.00759701 t=36766
bi ni 	比你	c=1 d=1.01889e-073 t=36766
bi niu er 	鼻牛兒	c=0 d=3.26881e-053 t=36766
bi niu er di 	鼻牛兒睇	c=1 d=3.28519e-052 t=36766
bi ren 	逼人	c=0 d=2.89483e-006 t=36766
bi ru 	比如	c=1 d=6.20365e-031 t=36766
bi wo 	比我	c=1 d=2.9343e-076 t=36766
bi xian 	必現	c=9 d=0.0122161 t=36766
bi xian 	避險	c=1 d=4.31609e-057 t=36766
bi xu 	必須	c=3 d=0.0138516 t=36766
bi yao 	必要	c=2 d=2.62568e-005 t=36766
bian 	便	c=1 d=0.0699482 t=36766
bian 	編	c=1 d=1.05982e-007 t=36766
bian 	變	c=5 d=0.0330412 t=36766
bian 	遍	c=3 d=4.63729e-040 t=36766
bian 	邊	c=2 d=0.301194 t=36766
bian bu guo 	編不過	c=1 d=1.91548e-029 t=36766
bian cheng 	變成	c=6 d=4.16851e-006 t=36766
bian cun 	邊存	c=1 d=5.45668e-051 t=36766
bian dang 	便當	c=2 d=0.168748 t=36766
bian dei 	變得	c=1 d=1.25634e-067 t=36766
bian dong 	變動	c=2 d=4.44541e-022 t=36766
bian ge 	邊個	c=2 d=9.28059e-005 t=36766
bian geng 	變更	c=1 d=7.50918e-072 t=36766
bian hu 	辯護	c=1 d=2.64199e-018 t=36766
bian hua 	變化	c=20 d=2.83573e-016 t=36766
bian ji 	編輯	c=2 d=2.13566e-015 t=36766
bian jie ma 	變解碼	c=1 d=3.80258e-008 t=36766
bian kan 	邊看	c=1 d=0.160414 t=36766
bian li 	便利	c=1 d=7.42459e-027 t=36766
bian li 	遍歷	c=25 d=1.28527 t=36766
bian liang 	變量	c=14 d=1.06095e-005 t=36766
bian ma 	編碼	c=5 d=3.75642e-068 t=36766
bian ting 	邊聽	c=1 d=5.42946e-051 t=36766
bian tong 	變通	c=1 d=6.77496e-038 t=36766
bian wei 	邊位	c=1 d=5.62896e-005 t=36766
bian xiao 	變小	c=1 d=3.73097e-049 t=36766
bian xie 	編寫	c=1 d=1.98912e-061 t=36766
bian yi 	便宜	c=1 d=3.68231e-071 t=36766
bian yi 	編譯	c=46 d=0.0163567 t=36766
bian yi hao 	編譯好	c=1 d=7.19857e-075 t=36766
bian yi hou 	編譯後	c=1 d=1.77853e-068 t=36766
bian yi qi 	編譯器	c=1 d=3.44882e-065 t=36766
bian zhi 	貶值	c=1 d=6.52706e-070 t=36766
biao 	表	c=24 d=0.0362446 t=36766
biao da 	表達	c=4 d=6.36632e-012 t=36766
biao ge 	表格	c=1 d=9.49035e-062 t=36766
biao hua 	表話	c=1 d=1.02476e-023 t=36766
biao ji 	標記	c=11 d=2.58108e-014 t=36766
biao ji wei 	標記位	c=3 d=1.87073e-045 t=36766
biao mei 	表妹	c=1 d=0.0081887 t=36766
biao ming 	表明	c=4 d=4.97307e-017 t=36766
biao qing 	表情	c=2 d=9.33809e-076 t=36766
biao shi 	標識	c=1 d=0.00162053 t=36766
biao shi 	表示	c=17 d=0.0504351 t=36766
biao ti 	標題	c=9 d=0.0521237 t=36766
biao xian 	表現	c=1 d=6.01601e-052 t=36766
biao yi 	表意	c=1 d=1.02052e-033 t=36766
biao zhi 	標誌	c=3 d=0.00161252 t=36766
biao zhong 	表中	c=1 d=1.40266e-069 t=36766
biao zhu 	標註	c=1 d=1.21069e-014 t=36766
biao zhun 	標準	c=6 d=1.03384e-046 t=36766
bie 	別	c=3 d=0.00413807 t=36766
bie 	憋	c=1 d=4.68144e-013 t=36766
bie chi dao 	別遲到	c=1 d=0.0415857 t=36766
bie da 	別打	c=1 d=2.48797e-076 t=36766
bie mo wo 	別摸我	c=2 d=6.57083e-075 t=36766
bie pa 	別怕	c=1 d=8.19375e-069 t=36766
bie ren 	別人	c=14 d=0.00153347 t=36766
bie ren ni 	別人你	c=1 d=3.62872e-075 t=36766
bie shuo 	別說	c=1 d=2.38265e-067 t=36766
bie shuo le 	別說了	c=1 d=3.53793e-071 t=36766
bie ti jiao 	別提交	c=1 d=7.90385e-057 t=36766
bin 	賓	c=2 d=6.40287e-012 t=36766
bing 	並	c=7 d=0.388695 t=36766
bing 	病	c=1 d=5.29e-039 t=36766
bing bu shi 	並不是	c=3 d=2.60274e-013 t=36766
bing jiang 	並將	c=1 d=1.27555e-069 t=36766
bing mei 	並沒	c=1 d=0.0066709 t=36766
bing mei you 	並沒有	c=9 d=0.0081887 t=36766
bing qie 	並且	c=13 d=0.351692 t=36766
bing ren 	病人	c=1 d=4.10992e-040 t=36766
bing zhan shi 	並展示	c=1 d=1.8961e-027 t=36766
bo 	博	c=1 d=9.89817e-058 t=36766
bo 	播	c=2 d=0.000833317 t=36766
bo ang 	波昂	c=1 d=2.36638e-016 t=36766
bo bu liao 	播不了	c=1 d=0.000407691 t=36766
bo fang 	播放	c=104 d=0.689079 t=36766
bo fang ge qu 	播放歌曲	c=1 d=0.00358858 t=36766
bo fang jin cheng 	播放進程	c=5 d=0.00741705 t=36766
bo fang le 	播放了	c=1 d=9.66263e-009 t=36766
bo fang lie biao 	播放列表	c=1 d=0.000804733 t=36766
bo fang qi 	播放器	c=4 d=9.75491e-042 t=36766
bo fang ye 	播放頁	c=9 d=0.00403112 t=36766
bo fang zhuang tai 	播放狀態	c=1 d=9.7091e-036 t=36766
bo li 	玻璃	c=1 d=1.04763e-018 t=36766
bu 	不	c=28 d=0.243443 t=36766
bu 	步	c=2 d=0.763379 t=36766
bu 	補	c=6 d=0.33454 t=36766
bu 	部	c=3 d=2.71967e-006 t=36766
bu an 	不安	c=1 d=7.84546e-058 t=36766
bu an quan 	不安全	c=3 d=2.57044e-040 t=36766
bu bao 	不報	c=1 d=1.27056e-023 t=36766
bu bao han 	不包含	c=3 d=1.06234e-035 t=36766
bu bao zheng 	不保證	c=1 d=4.28129e-050 t=36766
